"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:58:18.3449858 PM","svchost.exe","3772","Thread Exit","","SUCCESS","Thread ID: 4440, User Time: 0.0000000, Kernel Time: 0.0000000"
"9:58:18.3897889 PM","svchost.exe","1160","Thread Exit","","SUCCESS","Thread ID: 1792, User Time: 0.0000000, Kernel Time: 0.0000000"
"9:58:19.2385674 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.2386753 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3026739 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.3028097 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3602049 PM","svchost.exe","1564","LockFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"9:58:19.3602262 PM","svchost.exe","1564","QueryStandardInformationFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd","SUCCESS","AllocationSize: 2,097,152, EndOfFile: 2,097,152, NumberOfLinks: 1, DeletePending: False, Directory: False"
"9:58:19.3602535 PM","svchost.exe","1564","UnlockFileSingle","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Offset: 123, Length: 1"
"9:58:19.3641105 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.3641235 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: True, Offset: 120, Length: 1, Fail Immediately: True"
"9:58:19.3641931 PM","svchost.exe","3004","WriteFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-wal","SUCCESS","Offset: 1,524,432, Length: 24"
"9:58:19.3642142 PM","svchost.exe","3004","WriteFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-wal","SUCCESS","Offset: 1,524,456, Length: 4,096"
"9:58:19.3642302 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 120, Length: 1"
"9:58:19.3642404 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3642998 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: True, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.3643084 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3643159 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.3643241 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: True, Offset: 120, Length: 1, Fail Immediately: True"
"9:58:19.3643552 PM","svchost.exe","3004","WriteFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-wal","SUCCESS","Offset: 1,528,552, Length: 24"
"9:58:19.3643667 PM","svchost.exe","3004","WriteFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-wal","SUCCESS","Offset: 1,528,576, Length: 4,096"
"9:58:19.3643817 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 120, Length: 1"
"9:58:19.3643906 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3644243 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: True, Offset: 124, Length: 1, Fail Immediately: True"
"9:58:19.3644319 PM","svchost.exe","3004","UnlockFileSingle","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Offset: 124, Length: 1"
"9:58:19.3644389 PM","svchost.exe","3004","LockFile","C:\Users\hoang\AppData\Local\ConnectedDevicesPlatform\753d287ea98cc50c\ActivitiesCache.db-shm","SUCCESS","Exclusive: False, Offset: 124, Length: 1, Fail Immediately: True"
