"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:26:00.6444002 AM","svchost.exe","880","RegQueryMultipleValueKey","HKU\.DEFAULT\Control Panel\International","BUFFER OVERFLOW",""
"12:26:00.6444380 AM","svchost.exe","880","RegQueryMultipleValueKey","HKU\.DEFAULT\Control Panel\International","SUCCESS",""
"12:26:00.8176605 AM","svchost.exe","804","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"12:26:00.8176748 AM","svchost.exe","804","RegOpenKey","HKCU\Control Panel\International","SUCCESS","Desired Access: Read"
"12:26:00.8176840 AM","svchost.exe","804","RegCloseKey","HKCU","SUCCESS",""
"12:26:00.8176915 AM","svchost.exe","804","RegQueryValue","HKCU\Control Panel\International\LocaleName","SUCCESS","Type: REG_SZ, Length: 12, Data: en-US"
"12:26:00.8176991 AM","svchost.exe","804","RegCloseKey","HKCU\Control Panel\International","SUCCESS",""
"12:26:00.8180656 AM","svchost.exe","804","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"12:26:00.8180765 AM","svchost.exe","804","RegOpenKey","HKCU\Control Panel\International","SUCCESS","Desired Access: Read"
"12:26:00.8180840 AM","svchost.exe","804","RegCloseKey","HKCU","SUCCESS",""
"12:26:00.8180902 AM","svchost.exe","804","RegQueryValue","HKCU\Control Panel\International\LocaleName","SUCCESS","Type: REG_SZ, Length: 12, Data: en-US"
"12:26:00.8180969 AM","svchost.exe","804","RegCloseKey","HKCU\Control Panel\International","SUCCESS",""
"12:26:00.9428161 AM","svchost.exe","880","QueryNameInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","Name: \Windows\System32\acppage.dll"
"12:26:00.9428281 AM","svchost.exe","880","QueryNameInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","Name: \Windows\System32\acppage.dll"
"12:26:00.9428608 AM","svchost.exe","880","QueryNormalizedNameInformationFile","C:\Windows\System32\acppage.dll","INVALID PARAMETER",""
"12:26:00.9451304 AM","svchost.exe","880","CreateFile","C:\Windows\System32\acppage.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9451809 AM","svchost.exe","880","QueryBasicInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","CreationTime: 1/2/2018 6:30:10 PM, LastAccessTime: 1/2/2018 6:30:10 PM, LastWriteTime: 11/20/2010 4:18:01 AM, ChangeTime: 1/2/2018 6:43:23 PM, FileAttributes: A"
"12:26:00.9451885 AM","svchost.exe","880","CloseFile","C:\Windows\System32\acppage.dll","SUCCESS",""
"12:26:00.9452111 AM","svchost.exe","880","CreateFile","C:\","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9452251 AM","svchost.exe","880","QueryDirectory","C:\Windows","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: Windows, 2: Windows"
"12:26:00.9452390 AM","svchost.exe","880","CloseFile","C:\","SUCCESS",""
"12:26:00.9452952 AM","svchost.exe","880","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9453097 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: System32, 2: System32"
"12:26:00.9453228 AM","svchost.exe","880","CloseFile","C:\Windows","SUCCESS",""
"12:26:00.9453938 AM","svchost.exe","880","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9454089 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32\acppage.dll","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: acppage.dll, 2: acppage.dll"
"12:26:00.9454223 AM","svchost.exe","880","CloseFile","C:\Windows\System32","SUCCESS",""
"12:26:00.9454432 AM","svchost.exe","880","QueryNameInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","Name: \Windows\System32\acppage.dll"
"12:26:00.9454527 AM","svchost.exe","880","QueryNameInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","Name: \Windows\System32\acppage.dll"
"12:26:00.9454810 AM","svchost.exe","880","QueryNormalizedNameInformationFile","C:\Windows\System32\acppage.dll","INVALID PARAMETER",""
"12:26:00.9455754 AM","svchost.exe","880","CreateFile","C:\Windows\System32\acppage.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9456243 AM","svchost.exe","880","QueryBasicInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","CreationTime: 1/2/2018 6:30:10 PM, LastAccessTime: 1/2/2018 6:30:10 PM, LastWriteTime: 11/20/2010 4:18:01 AM, ChangeTime: 1/2/2018 6:43:23 PM, FileAttributes: A"
"12:26:00.9456315 AM","svchost.exe","880","CloseFile","C:\Windows\System32\acppage.dll","SUCCESS",""
"12:26:00.9456530 AM","svchost.exe","880","CreateFile","C:\","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9456665 AM","svchost.exe","880","QueryDirectory","C:\Windows","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: Windows, 2: Windows"
"12:26:00.9456790 AM","svchost.exe","880","CloseFile","C:\","SUCCESS",""
"12:26:00.9457329 AM","svchost.exe","880","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9457466 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: System32, 2: System32"
"12:26:00.9457589 AM","svchost.exe","880","CloseFile","C:\Windows","SUCCESS",""
"12:26:00.9458142 AM","svchost.exe","880","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9458279 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32\acppage.dll","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: acppage.dll, 2: acppage.dll"
"12:26:00.9458408 AM","svchost.exe","880","CloseFile","C:\Windows\System32","SUCCESS",""
"12:26:00.9459430 AM","svchost.exe","880","CreateFile","C:\Windows\System32\acppage.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9459914 AM","svchost.exe","880","QueryBasicInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","CreationTime: 1/2/2018 6:30:10 PM, LastAccessTime: 1/2/2018 6:30:10 PM, LastWriteTime: 11/20/2010 4:18:01 AM, ChangeTime: 1/2/2018 6:43:23 PM, FileAttributes: A"
"12:26:00.9459983 AM","svchost.exe","880","CloseFile","C:\Windows\System32\acppage.dll","SUCCESS",""
"12:26:00.9460905 AM","svchost.exe","880","CreateFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9461696 AM","svchost.exe","880","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4,083,712, EndOfFile: 4,080,554, NumberOfLinks: 2, DeletePending: False, Directory: False"
"12:26:00.9461777 AM","svchost.exe","880","CreateFileMapping","C:\Windows\AppPatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"12:26:00.9461838 AM","svchost.exe","880","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4,083,712, EndOfFile: 4,080,554, NumberOfLinks: 2, DeletePending: False, Directory: False"
"12:26:00.9461970 AM","svchost.exe","880","CreateFileMapping","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther"
"12:26:00.9462121 AM","svchost.exe","880","QueryStandardInformationFile","C:\Windows\AppPatch\sysmain.sdb","SUCCESS","AllocationSize: 4,083,712, EndOfFile: 4,080,554, NumberOfLinks: 2, DeletePending: False, Directory: False"
"12:26:00.9462758 AM","svchost.exe","880","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9462900 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32\acppage.dll","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: acppage.dll, 2: acppage.dll"
"12:26:00.9463026 AM","svchost.exe","880","CloseFile","C:\Windows\System32","SUCCESS",""
"12:26:00.9464180 AM","svchost.exe","880","CreateFile","C:\Windows\System32\acppage.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9467116 AM","svchost.exe","880","QueryBasicInformationFile","C:\Windows\System32\acppage.dll","SUCCESS","CreationTime: 1/2/2018 6:30:10 PM, LastAccessTime: 1/2/2018 6:30:10 PM, LastWriteTime: 11/20/2010 4:18:01 AM, ChangeTime: 1/2/2018 6:43:23 PM, FileAttributes: A"
"12:26:00.9467188 AM","svchost.exe","880","CloseFile","C:\Windows\System32\acppage.dll","SUCCESS",""
"12:26:00.9467412 AM","svchost.exe","880","CreateFile","C:\","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9467549 AM","svchost.exe","880","QueryDirectory","C:\Windows","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: Windows, 2: Windows"
"12:26:00.9467680 AM","svchost.exe","880","CloseFile","C:\","SUCCESS",""
"12:26:00.9468225 AM","svchost.exe","880","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9468364 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: System32, 2: System32"
"12:26:00.9468493 AM","svchost.exe","880","CloseFile","C:\Windows","SUCCESS",""
"12:26:00.9469054 AM","svchost.exe","880","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9469194 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32\acppage.dll","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: acppage.dll, 2: acppage.dll"
"12:26:00.9469325 AM","svchost.exe","880","CloseFile","C:\Windows\System32","SUCCESS",""
"12:26:00.9469557 AM","svchost.exe","880","RegOpenKey","HKU\S-1-5-18\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","REPARSE","Desired Access: Query Value"
"12:26:00.9469649 AM","svchost.exe","880","RegOpenKey","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"12:26:00.9469781 AM","svchost.exe","880","RegQueryValue","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","NAME NOT FOUND","Length: 520"
"12:26:00.9469839 AM","svchost.exe","880","RegCloseKey","HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"12:26:00.9469909 AM","svchost.exe","880","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers","NAME NOT FOUND","Desired Access: Read"
"12:26:00.9470018 AM","svchost.exe","880","RegOpenKey","HKU\S-1-5-18\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers","REPARSE","Desired Access: Read"
"12:26:00.9470082 AM","svchost.exe","880","RegOpenKey","HKU\.DEFAULT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers","NAME NOT FOUND","Desired Access: Read"
"12:26:00.9470161 AM","svchost.exe","880","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Custom\acppage.dll","NAME NOT FOUND","Desired Access: Read"
"12:26:00.9471314 AM","svchost.exe","880","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:26:00.9471457 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32\*","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: *, 2: ."
"12:26:00.9471605 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: .., 2: 0409, 3: 12520437.cpx, 4: 12520850.cpx, 5: 7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0, 6: 7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0, 7: accessibilitycpl.dll, 8: ACCTRES.dll, 9: acledit.dll, 10: aclui.dll, 11: acmigration.dll, 12: acppage.dll, 13: acproxy.dll, 14: ActionCenter.dll, 15: ActionCenterCPL.dll, 16: ActionQueue.dll, 17: activeds.dll, 18: activeds.tlb, 19: actxprxy.dll, 20: AdapterTroubleshooter.exe, 21: AdmTmpl.dll, 22: adprovider.dll, 23: adsldp.dll, 24: adsldpc.dll, 25: adsmsext.dll, 26: adsnt.dll, 27: adtschema.dll, 28: AdvancedInstallers, 29: advapi32.dll, 30: advpack.dll, 31: aecache.dll"
"12:26:00.9471929 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: aeevts.dll, 2: aeinv.dll, 3: aelupsvc.dll, 4: aepic.dll, 5: aitagent.exe, 6: aitstatic.exe, 7: alg.exe, 8: AltTab.dll, 9: amcompat.tlb, 10: amstream.dll, 11: amxread.dll, 12: ANSI.SYS, 13: apds.dll, 14: api-ms-win-core-console-l1-1-0.dll, 15: api-ms-win-core-datetime-l1-1-0.dll, 16: api-ms-win-core-debug-l1-1-0.dll, 17: api-ms-win-core-delayload-l1-1-0.dll, 18: api-ms-win-core-errorhandling-l1-1-0.dll, 19: api-ms-win-core-fibers-l1-1-0.dll, 20: api-ms-win-core-file-l1-1-0.dll, 21: api-ms-win-core-file-l1-2-0.dll, 22: api-ms-win-core-file-l2-1-0.dll, 23: api-ms-win-core-handle-l1-1-0.dll, 24: api-ms-win-core-heap-l1-1-0.dll, 25: api-ms-win-core-interlocked-l1-1-0.dll, 26: api-ms-win-core-io-l1-1-0.dll, 27: api-ms-win-core-libraryloader-l1-1-0.dll, 28: api-ms-win-core-localization-l1-1-0.dll"
"12:26:00.9472203 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: api-ms-win-core-localization-l1-2-0.dll, 2: api-ms-win-core-localregistry-l1-1-0.dll, 3: api-ms-win-core-memory-l1-1-0.dll, 4: api-ms-win-core-misc-l1-1-0.dll, 5: api-ms-win-core-namedpipe-l1-1-0.dll, 6: api-ms-win-core-processenvironment-l1-1-0.dll, 7: api-ms-win-core-processthreads-l1-1-0.dll, 8: api-ms-win-core-processthreads-l1-1-1.dll, 9: api-ms-win-core-profile-l1-1-0.dll, 10: api-ms-win-core-rtlsupport-l1-1-0.dll, 11: api-ms-win-core-string-l1-1-0.dll, 12: api-ms-win-core-synch-l1-1-0.dll, 13: api-ms-win-core-synch-l1-2-0.dll, 14: api-ms-win-core-sysinfo-l1-1-0.dll, 15: api-ms-win-core-threadpool-l1-1-0.dll, 16: api-ms-win-core-timezone-l1-1-0.dll, 17: api-ms-win-core-util-l1-1-0.dll, 18: api-ms-win-core-xstate-l1-1-0.dll, 19: api-ms-win-core-xstate-l2-1-0.dll, 20: api-ms-win-crt-conio-l1-1-0.dll, 21: api-ms-win-crt-convert-l1-1-0.dll, 22: api-ms-win-crt-environment-l1-1-0.dll, 23: api-ms-win-crt-filesystem-l1-1-0.dll, 24: api-ms-win-crt-heap-l1-1-0.dll"
"12:26:00.9472460 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: api-ms-win-crt-locale-l1-1-0.dll, 2: api-ms-win-crt-math-l1-1-0.dll, 3: api-ms-win-crt-multibyte-l1-1-0.dll, 4: api-ms-win-crt-private-l1-1-0.dll, 5: api-ms-win-crt-process-l1-1-0.dll, 6: api-ms-win-crt-runtime-l1-1-0.dll, 7: api-ms-win-crt-stdio-l1-1-0.dll, 8: api-ms-win-crt-string-l1-1-0.dll, 9: api-ms-win-crt-time-l1-1-0.dll, 10: api-ms-win-crt-utility-l1-1-0.dll, 11: api-ms-win-downlevel-advapi32-l1-1-0.dll, 12: api-ms-win-downlevel-advapi32-l2-1-0.dll, 13: api-ms-win-downlevel-normaliz-l1-1-0.dll, 14: api-ms-win-downlevel-ole32-l1-1-0.dll, 15: api-ms-win-downlevel-shell32-l1-1-0.dll, 16: api-ms-win-downlevel-shlwapi-l1-1-0.dll, 17: api-ms-win-downlevel-shlwapi-l2-1-0.dll, 18: api-ms-win-downlevel-user32-l1-1-0.dll, 19: api-ms-win-downlevel-version-l1-1-0.dll, 20: api-ms-win-security-base-l1-1-0.dll, 21: api-ms-win-security-lsalookup-l1-1-0.dll, 22: api-ms-win-security-sddl-l1-1-0.dll, 23: api-ms-win-service-core-l1-1-0.dll, 24: api-ms-win-service-management-l1-1-0.dll"
"12:26:00.9472717 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: api-ms-win-service-management-l2-1-0.dll, 2: api-ms-win-service-winsvc-l1-1-0.dll, 3: apilogen.dll, 4: apircl.dll, 5: apisetschema.dll, 6: append.exe, 7: apphelp.dll, 8: Apphlpdm.dll, 9: appidapi.dll, 10: appidcertstorecheck.exe, 11: appidpolicyconverter.exe, 12: AppIdPolicyEngineApi.dll, 13: appidsvc.dll, 14: appinfo.dll, 15: appmgmts.dll, 16: appmgr.dll, 17: appraiser, 18: appraiser.dll, 19: appwiz.cpl, 20: apss.dll, 21: ar-SA, 22: ARP.EXE, 23: asferror.dll, 24: aspnet_counters.dll, 25: asycfilt.dll, 26: at.exe, 27: AtBroker.exe, 28: atl.dll, 29: atmfd.dll, 30: atmlib.dll, 31: attrib.exe, 32: audiodev.dll, 33: audiodg.exe"
"12:26:00.9473002 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: AudioEng.dll, 2: AUDIOKSE.dll, 3: AudioSes.dll, 4: audiosrv.dll, 5: auditcse.dll, 6: AuditNativeSnapIn.dll, 7: auditpol.exe, 8: AuditPolicyGPInterop.dll, 9: auditpolmsg.dll, 10: authfwcfg.dll, 11: AuthFWGP.dll, 12: AuthFWSnapin.dll, 13: AuthFWWizFwk.dll, 14: authui.dll, 15: authz.dll, 16: autochk.exe, 17: autoconv.exe, 18: autoexec.nt, 19: autofmt.exe, 20: autoplay.dll, 21: AuxiliaryDisplayApi.dll, 22: AuxiliaryDisplayClassInstaller.dll, 23: AuxiliaryDisplayCpl.dll, 24: AuxiliaryDisplayDriverLib.dll, 25: AuxiliaryDisplayServices.dll, 26: avicap.dll, 27: avicap32.dll, 28: avifil32.dll, 29: avifile.dll, 30: avrt.dll, 31: AxInstSv.dll, 32: AxInstUI.exe"
"12:26:00.9473418 AM","svchost.exe","880","QueryDirectory","C:\Windows\System32","SUCCESS","FileInformationClass: FileBothDirectoryInformation, 1: azman.msc, 2: azroles.dll, 3: azroleui.dll, 4: AzSqlExt.dll, 5: baaupdate.exe, 6: basecsp.dll, 7: basesrv.dll, 8: batmeter.dll, 9: batt.dll, 10: bcdboot.exe, 11: bcdedit.exe, 12: bcdprov.dll, 13: bcdsrv.dll, 14: bcrypt.dll, 15: bcryptprimitives.dll, 16: bdaplgin.ax, 17: BdeHdCfg.exe, 18: BdeHdCfgLib.dll, 19: bderepair.dll, 20: bdesvc.dll, 21: bdeui.dll, 22: BdeUISrv.exe, 23: BdeUnlockWizard.exe, 24: BFE.DLL, 25: bg-BG, 26: bidispl.dll, 27: biocpl.dll, 28: BioCredProv.dll, 29: bios1.rom, 30: bios4.rom, 31: BitLockerWizard.exe, 32: BitLockerWizardElev.exe, 33: bitsadmin.exe"
