"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:17:43.2553806 AM","iexplore.exe","2600","CreateFile","C:\Users\IEUser\AppData\Roaming\Microsoft\Windows","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:17:43.2554001 AM","iexplore.exe","2600","QueryDirectory","C:\Users\IEUser\AppData\Roaming\Microsoft\Windows\BlackMamba_Mutex.xtr","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: BlackMamba_Mutex.xtr"
"12:17:43.2554130 AM","iexplore.exe","2600","CloseFile","C:\Users\IEUser\AppData\Roaming\Microsoft\Windows","SUCCESS",""
"12:17:43.2555269 AM","iexplore.exe","2600","RegQueryValue","HKCU\Software\Microsoft\Internet Explorer\BrowserEmulation\MSCompatibilityMode","NAME NOT FOUND","Length: 144"
"12:17:43.2555376 AM","iexplore.exe","2600","RegOpenKey","HKLM\Software\Microsoft\Internet Explorer\BrowserEmulation","NAME NOT FOUND","Desired Access: Read"
"12:17:43.2555599 AM","iexplore.exe","2600","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\EnableSSL3Fallback","NAME NOT FOUND","Length: 144"
"12:17:43.2555686 AM","iexplore.exe","2600","RegQueryValue","HKCU\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\EnableSSL3Fallback","NAME NOT FOUND","Length: 144"
"12:17:43.2555770 AM","iexplore.exe","2600","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\EnableSSL3Fallback","NAME NOT FOUND","Length: 144"
"12:17:43.2555862 AM","iexplore.exe","2600","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\EnableSSL3Fallback","NAME NOT FOUND","Length: 144"
"12:17:43.2558030 AM","iexplore.exe","2600","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Services\NetBT\Linkage","REPARSE","Desired Access: Read"
"12:17:43.2558150 AM","iexplore.exe","2600","RegOpenKey","HKLM\System\CurrentControlSet\Services\NetBT\Linkage","SUCCESS","Desired Access: Read"
"12:17:43.2558259 AM","iexplore.exe","2600","RegQueryValue","HKLM\System\CurrentControlSet\services\NetBT\Linkage\Export","BUFFER OVERFLOW","Length: 144"
"12:17:43.2558329 AM","iexplore.exe","2600","RegQueryValue","HKLM\System\CurrentControlSet\services\NetBT\Linkage\Export","BUFFER OVERFLOW","Length: 144"
