,Time of Day,Process Name,PID,Operation,Path,Result,Detail
690,11:23:30.3630100 PM,charles.exe,1800,CreateFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Created"
691,11:23:30.3632198 PM,charles.exe,1800,WriteFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"Offset: 0, Length: 101, Priority: Normal"
692,11:23:30.3632878 PM,charles.exe,1800,CloseFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,
889,11:23:30.3841958 PM,charles.exe,1800,QueryDirectory,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"FileInformationClass: FileIdBothDirectoryInformation, Filter: install.bat, 2: install.bat"
8689,11:23:30.5332180 PM,charles.exe,1800,CreateFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
8690,11:23:30.5332342 PM,charles.exe,1800,QueryBasicInformationFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"CreationTime: 2/6/2021 11:23:30 PM, LastAccessTime: 2/6/2021 11:23:30 PM, LastWriteTime: 2/6/2021 11:23:30 PM, ChangeTime: 2/6/2021 11:23:30 PM, FileAttributes: A"
8691,11:23:30.5332424 PM,charles.exe,1800,CloseFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,
8708,11:23:30.5338637 PM,charles.exe,1800,QueryDirectory,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"FileInformationClass: FileBothDirectoryInformation, Filter: install.bat, 2: install.bat"
8710,11:23:30.5339993 PM,charles.exe,1800,CreateFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
8711,11:23:30.5340150 PM,charles.exe,1800,QueryBasicInformationFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"CreationTime: 2/6/2021 11:23:30 PM, LastAccessTime: 2/6/2021 11:23:30 PM, LastWriteTime: 2/6/2021 11:23:30 PM, ChangeTime: 2/6/2021 11:23:30 PM, FileAttributes: A"
8712,11:23:30.5340235 PM,charles.exe,1800,CloseFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,
8728,11:23:30.5347277 PM,charles.exe,1800,CreateFile,C:\Users\hoang\AppData\Local\Temp\install.bat,SUCCESS,"Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
8729,11:23:30.5347456 PM,charles.exe,1800,QuerySecurityFile,C:\Users\hoang\AppData\Local\Temp\install.bat,BUFFER OVERFLOW,Information: Label
